r,z,intensity
36,20,89.0583333333
36,21,86.4590163934
36,22,99.0
36,23,86.0
36,24,0
36,25,0
36,26,0
36,27,0
36,28,0
36,29,0
36,30,0
36,31,0
36,32,0
36,33,0
36,34,0
36,35,0
36,36,0
36,37,0
36,38,0
36,39,0
36,40,0
36,41,0
36,42,0
36,43,0
36,44,0
36,45,0
36,46,0
36,47,0
39,1,54.8334452653
39,2,79.10651341
39,3,93.0223463687
39,4,97.8359966358
39,5,96.1580756014
39,6,93.4969485615
39,7,93.7246753247
39,8,94.2603550296
39,9,95.3242358079
39,10,94.6593548387
39,11,93.4742424242
39,12,93.4424460432
39,13,93.8325688073
39,14,93.0541237113
39,15,92.1234939759
39,16,100.866438356
39,17,102.878472222
39,18,104.299465241
39,19,92.0206185567
39,20,74.7105263158
39,21,60.0
39,22,0
39,23,0
39,24,0
39,25,0
39,26,0
39,27,0
39,28,0
39,29,0
39,30,0
39,31,0
39,32,0
39,33,0
39,34,0
39,35,0
39,36,0
39,37,0
39,38,0
39,39,0
39,40,0
39,41,0
39,42,0
39,43,0
39,44,0
39,45,0
39,46,0
39,47,0
42,1,53.2857142857
42,2,76.6466826539
42,3,90.3446771379
42,4,95.7664562669
42,5,98.8334866605
42,6,99.364414843
42,7,93.8119312437
42,8,92.0449943757
42,9,92.6218274112
42,10,92.0551839465
42,11,94.5365384615
42,12,95.301843318
42,13,91.0737913486
42,14,96.0762463343
42,15,104.733096085
42,16,102.718631179
42,17,106.556213018
42,18,93.0348837209
42,19,71.5151515152
42,20,0
42,21,0
42,22,0
42,23,0
42,24,0
42,25,0
42,26,0
42,27,0
42,28,0
42,29,0
42,30,0
42,31,0
42,32,0
42,33,0
42,34,0
42,35,0
42,36,0
42,37,0
42,38,0
42,39,0
42,40,0
42,41,0
42,42,0
42,43,0
42,44,0
42,45,0
42,46,0
42,47,0
45,1,53.3087091757
45,2,77.0510295434
45,3,91.1844569288
45,4,97.8024072217
45,5,99.1752786221
45,6,98.3155136268
45,7,94.9282407407
45,8,92.9605781866
45,9,95.2931034483
45,10,94.9263565891
45,11,93.5637254902
45,12,92.1340782123
45,13,95.1178343949
45,14,100.61302682
45,15,100.712446352
45,16,102.713375796
45,17,85.4125
45,18,68.5
45,19,0
45,20,0
45,21,0
45,22,0
45,23,0
45,24,0
45,25,0
45,26,0
45,27,0
45,28,0
45,29,0
45,30,0
45,31,0
45,32,0
45,33,0
45,34,0
45,35,0
45,36,0
45,37,0
45,38,0
45,39,0
45,40,0
45,41,0
45,42,0
45,43,0
45,44,0
45,45,0
45,46,0
45,47,0
48,1,54.9921671018
48,2,81.2606284658
48,3,96.5241935484
48,4,98.2508178844
48,5,94.4563218391
48,6,91.2496798976
48,7,87.5194029851
48,8,88.3827838828
48,9,88.4573804574
48,10,89.3316708229
48,11,90.0941176471
48,12,89.4329896907
48,13,96.6181102362
48,14,98.9859813084
48,15,98.9383561644
48,16,84.5714285714
48,17,69.4210526316
48,18,0
48,19,0
48,20,0
48,21,0
48,22,0
48,23,0
48,24,0
48,25,0
48,26,0
48,27,0
48,28,0
48,29,0
48,30,0
48,31,0
48,32,0
48,33,0
48,34,0
48,35,0
48,36,0
48,37,0
48,38,0
48,39,0
48,40,0
48,41,0
48,42,0
48,43,0
48,44,0
48,45,0
48,46,0
48,47,0
51,1,57.356884058
51,2,82.4059609455
51,3,95.2298342541
51,4,102.074209246
51,5,100.219544846
51,6,90.8681506849
51,7,84.7409638554
51,8,86.9054054054
51,9,86.5593667546
51,10,89.6415662651
51,11,94.8576512456
51,12,102.304166667
51,13,105.372641509
51,14,108.727272727
51,15,88.5285714286
51,16,79.2352941176
51,17,0
51,18,0
51,19,0
51,20,0
51,21,0
51,22,0
51,23,0
51,24,0
51,25,0
51,26,0
51,27,0
51,28,0
51,29,0
51,30,0
51,31,0
51,32,0
51,33,0
51,34,0
51,35,0
51,36,0
51,37,0
51,38,0
51,39,0
51,40,0
51,41,0
51,42,0
51,43,0
51,44,0
51,45,0
51,46,0
51,47,0
54,1,57.5246406571
54,2,81.9776876268
54,3,97.791718946
54,4,104.055480379
54,5,99.8477905074
54,6,97.3477321814
54,7,89.1895734597
54,8,85.5471204188
54,9,93.084592145
54,10,100.748275862
54,11,104.605932203
54,12,109.023696682
54,13,108.296511628
54,14,87.76
54,15,86.8666666667
54,16,0
54,17,0
54,18,0
54,19,0
54,20,0
54,21,0
54,22,0
54,23,0
54,24,0
54,25,0
54,26,0
54,27,0
54,28,0
54,29,0
54,30,0
54,31,0
54,32,0
54,33,0
54,34,0
54,35,0
54,36,0
54,37,0
54,38,0
54,39,0
54,40,0
54,41,0
54,42,0
54,43,0
54,44,0
54,45,0
54,46,0
54,47,0
57,1,56.7921653972
57,2,79.0985277463
57,3,94.9070680628
57,4,102.04248366
57,5,99.0993914807
57,6,97.318627451
57,7,97.8125
57,8,103.200626959
57,9,101.619863014
57,10,102.828193833
57,11,103.316582915
57,12,101.169811321
57,13,91.7272727273
57,14,93.6666666667
57,15,0
57,16,0
57,17,0
57,18,0
57,19,0
57,20,0
57,21,0
57,22,0
57,23,0
57,24,0
57,25,0
57,26,0
57,27,0
57,28,0
57,29,0
57,30,0
57,31,0
57,32,0
57,33,0
57,34,0
57,35,0
57,36,0
57,37,0
57,38,0
57,39,0
57,40,0
57,41,0
57,42,0
57,43,0
57,44,0
57,45,0
57,46,0
57,47,0
60,1,57.5218446602
60,2,81.8625472888
60,3,95.5573770492
60,4,100.768786127
60,5,106.041262136
60,6,108.622093023
60,7,109.692041522
60,8,106.950877193
60,9,108.684684685
60,10,105.710382514
60,11,111.870967742
60,12,105.215053763
60,13,75.75
60,14,0
60,15,0
60,16,0
60,17,0
60,18,0
60,19,0
60,20,0
60,21,0
60,22,0
60,23,0
60,24,0
60,25,0
60,26,0
60,27,0
60,28,0
60,29,0
60,30,0
60,31,0
60,32,0
60,33,0
60,34,0
60,35,0
60,36,0
60,37,0
60,38,0
60,39,0
60,40,0
60,41,0
60,42,0
60,43,0
60,44,0
60,45,0
60,46,0
60,47,0
63,1,56.8561736771
63,2,81.741209564
63,3,96.4730639731
63,4,100.677570093
63,5,100.107142857
63,6,100.150501672
63,7,98.2595419847
63,8,99.1082251082
63,9,103.344262295
63,10,121.834482759
63,11,112.114583333
63,12,76.5
63,13,49.5333333333
63,14,0
63,15,0
63,16,0
63,17,0
63,18,0
63,19,0
63,20,0
63,21,0
63,22,0
63,23,0
63,24,0
63,25,0
63,26,0
63,27,0
63,28,0
63,29,0
63,30,0
63,31,0
63,32,0
63,33,0
63,34,0
63,35,0
63,36,0
63,37,0
63,38,0
63,39,0
63,40,0
63,41,0
63,42,0
63,43,0
63,44,0
63,45,0
63,46,0
63,47,0
66,1,53.0399385561
66,2,74.8333333333
66,3,91.5504032258
66,4,101.41959799
66,5,98.4935483871
66,6,97.3306772908
66,7,101.019323671
66,8,103.70718232
66,9,116.71641791
66,10,107.589473684
66,11,88.0666666667
66,12,54.8
66,13,41.0
66,14,0
66,15,0
66,16,0
66,17,0
66,18,0
66,19,0
66,20,0
66,21,0
66,22,0
66,23,0
66,24,0
66,25,0
66,26,0
66,27,0
66,28,0
66,29,0
66,30,0
66,31,0
66,32,0
66,33,0
66,34,0
66,35,0
66,36,0
66,37,0
66,38,0
66,39,0
66,40,0
66,41,0
66,42,0
66,43,0
66,44,0
66,45,0
66,46,0
66,47,0
69,1,58.3351158645
69,2,81.0219123506
